,open,high,low,close,volume
2025-03-11 19:59:00,220.9900,221.0700,220.8000,220.9700,733
2025-03-11 19:58:00,221.0000,221.0699,220.7800,221.0500,276
2025-03-11 19:57:00,221.0000,221.0500,220.7800,220.9800,1471
2025-03-11 19:56:00,221.0700,221.0700,220.9335,221.0300,356
2025-03-11 19:55:00,221.0700,221.0700,220.9600,221.0696,458
2025-03-11 19:54:00,220.8000,221.0700,220.7800,221.0663,473
2025-03-11 19:53:00,220.7700,220.8500,220.7500,220.8100,213
2025-03-11 19:52:00,220.7200,220.8000,220.7200,220.8000,778
2025-03-11 19:51:00,220.7500,220.7500,220.7200,220.7498,137
2025-03-11 19:50:00,220.7483,220.7500,220.7101,220.7500,710
2025-03-11 19:49:00,220.7500,220.7800,220.7500,220.7500,121
2025-03-11 19:48:00,220.6800,220.7800,220.6800,220.7763,379
2025-03-11 19:47:00,220.6500,220.7000,220.6500,220.6885,182
2025-03-11 19:46:00,220.7000,220.7000,220.6500,220.6988,356
2025-03-11 19:45:00,220.7800,220.7800,220.6500,220.7500,338
2025-03-11 19:44:00,220.5200,220.7000,220.5200,220.6500,1414
2025-03-11 19:43:00,220.7000,220.7000,220.6420,220.6500,20
2025-03-11 19:42:00,220.6100,220.7000,220.6100,220.6700,106
2025-03-11 19:41:00,220.5200,220.7000,220.5200,220.7000,24
2025-03-11 19:40:00,220.6700,220.6700,220.6000,220.6500,114
2025-03-11 19:39:00,220.6512,220.7000,220.6500,220.7000,152
2025-03-11 19:38:00,220.6999,220.7000,220.5100,220.6100,204
2025-03-11 19:37:00,220.6200,220.7000,220.5100,220.6000,282
2025-03-11 19:36:00,220.6000,220.7000,220.5100,220.5100,277
2025-03-11 19:35:00,220.6950,220.7000,220.5100,220.6000,151
2025-03-11 19:34:00,220.7999,220.7999,220.5033,220.7000,148
2025-03-11 19:33:00,220.7000,220.7900,220.6000,220.7800,1047
2025-03-11 19:32:00,220.5100,220.8388,220.5000,220.6000,1457
2025-03-11 19:31:00,220.5500,220.8400,220.5100,220.8400,638
2025-03-11 19:30:00,220.5001,220.6000,220.5000,220.6000,159
2025-03-11 19:29:00,220.5600,220.9900,220.5000,220.5000,2852
2025-03-11 19:28:00,220.6100,220.8200,220.5000,220.5000,863
2025-03-11 19:27:00,220.9000,220.9000,220.5000,220.6600,2483
2025-03-11 19:26:00,220.7500,220.9000,220.7400,220.8500,50
2025-03-11 19:25:00,220.7600,220.9000,220.7300,220.8800,283
2025-03-11 19:24:00,220.8700,220.9300,220.8000,220.8000,691
2025-03-11 19:23:00,220.8400,220.9900,220.8100,220.9900,241
2025-03-11 19:22:00,220.8000,221.0000,220.8000,220.8100,288
2025-03-11 19:21:00,220.7489,221.0000,220.7488,221.0000,528
2025-03-11 19:20:00,220.7400,220.7500,220.7300,220.7300,767
2025-03-11 19:19:00,220.7300,220.7500,220.7300,220.7500,295
2025-03-11 19:18:00,220.9800,220.9800,220.7300,220.7301,970
2025-03-11 19:17:00,220.8000,220.9800,220.7300,220.7900,144
2025-03-11 19:16:00,220.8200,221.0500,220.8000,220.8000,110
2025-03-11 19:15:00,220.7500,221.0700,220.7500,220.8900,94
2025-03-11 19:14:00,220.8600,220.8860,220.7300,220.8500,1507
2025-03-11 19:13:00,221.0000,221.0448,220.8400,220.8900,98
2025-03-11 19:12:00,221.0640,221.0700,220.8300,221.0500,414
2025-03-11 19:11:00,220.9500,221.0700,220.8300,221.0000,119
2025-03-11 19:10:00,220.9500,221.0700,220.9500,221.0000,107
2025-03-11 19:09:00,221.0000,221.0700,220.9500,221.0700,155
2025-03-11 19:08:00,220.9500,221.0000,220.8700,220.9000,1561
2025-03-11 19:07:00,221.0000,221.0700,220.8300,220.8600,2084
2025-03-11 19:06:00,220.8800,221.0700,220.8300,220.8300,391
2025-03-11 19:05:00,220.9000,220.9000,220.8300,220.9000,89
2025-03-11 19:04:00,220.9100,220.9100,220.8301,220.8700,563
2025-03-11 19:03:00,221.0800,221.0800,220.9000,220.9000,190
2025-03-11 19:02:00,221.2500,221.2500,220.9500,221.1900,815
2025-03-11 19:01:00,221.3800,221.3800,221.0500,221.2500,125
2025-03-11 19:00:00,221.2082,221.3900,220.9300,221.3500,304
2025-03-11 18:59:00,221.3000,221.3000,221.0500,221.0500,547
2025-03-11 18:58:00,221.3000,221.3900,221.0400,221.2600,320
2025-03-11 18:57:00,221.1800,221.3900,221.0608,221.3000,1802
2025-03-11 18:56:00,221.2100,221.2100,221.0600,221.1800,33
2025-03-11 18:55:00,221.2100,221.2100,221.0600,221.2100,530
2025-03-11 18:54:00,221.2100,221.2100,221.0500,221.2100,155
2025-03-11 18:53:00,221.1000,221.2100,221.0700,221.1000,635
2025-03-11 18:52:00,221.0700,221.1991,221.0500,221.0999,213
2025-03-11 18:51:00,221.0600,221.2100,221.0500,221.1000,364
2025-03-11 18:50:00,221.2000,221.2100,221.0700,221.2100,92
2025-03-11 18:49:00,221.1000,221.2100,221.1000,221.2099,54
2025-03-11 18:48:00,221.1600,221.2000,221.0000,221.1000,255
2025-03-11 18:47:00,221.1900,221.2100,221.0100,221.1000,142
2025-03-11 18:46:00,221.1900,221.2100,220.9000,221.1900,58
2025-03-11 18:45:00,221.0200,221.2100,220.9000,221.2100,652
2025-03-11 18:44:00,221.1900,221.1900,221.0000,221.0500,56
2025-03-11 18:43:00,221.1900,221.1900,221.0100,221.1000,223
2025-03-11 18:42:00,221.1000,221.1900,220.9175,221.1900,451
2025-03-11 18:41:00,221.2100,221.2100,220.9000,221.2100,1004
2025-03-11 18:40:00,221.0600,221.2100,221.0600,221.1600,169
2025-03-11 18:39:00,220.9202,221.2100,220.9200,221.2000,769
2025-03-11 18:38:00,221.0000,221.2100,220.9100,221.0000,1207
2025-03-11 18:37:00,220.9999,221.0000,220.9500,221.0000,85
2025-03-11 18:36:00,220.9665,220.9665,220.8300,220.8500,156
2025-03-11 18:35:00,220.9700,220.9700,220.7000,220.8300,385
2025-03-11 18:34:00,220.7900,220.9700,220.7300,220.7300,73
2025-03-11 18:33:00,220.7000,220.8300,220.7000,220.8300,811
2025-03-11 18:32:00,220.7000,220.8200,220.7000,220.8000,1232
2025-03-11 18:31:00,220.8281,220.8300,220.7000,220.7000,154
2025-03-11 18:30:00,220.8300,220.8300,220.8200,220.8300,59
2025-03-11 18:29:00,220.7800,220.8300,220.6350,220.8300,400
2025-03-11 18:28:00,220.6600,220.8300,220.6600,220.8300,183
2025-03-11 18:27:00,220.7500,220.8300,220.6131,220.7500,1210
2025-03-11 18:26:00,220.8200,220.8600,220.3300,220.6700,222
2025-03-11 18:25:00,220.9900,220.9900,220.5300,220.7700,170
2025-03-11 18:24:00,220.8400,220.9900,220.5600,220.7700,550
2025-03-11 18:23:00,220.9500,221.0000,220.7100,220.8400,297
2025-03-11 18:22:00,221.0000,221.0000,220.5600,220.8100,21
2025-03-11 18:21:00,220.9900,220.9900,220.5300,220.8500,78
2025-03-11 18:20:00,220.9900,220.9999,220.7300,220.7300,11
2025-03-11 18:19:00,220.5500,221.2500,220.3600,220.6232,57
2025-03-11 18:18:00,221.0800,221.2500,220.8500,220.8500,163
2025-03-11 18:17:00,221.2500,221.2500,220.5500,221.0800,368
2025-03-11 18:16:00,221.2100,221.2500,221.0000,221.2400,408
2025-03-11 18:15:00,220.5675,221.2500,220.5675,221.2100,107
2025-03-11 18:14:00,221.2100,221.2100,220.5500,221.0000,221
2025-03-11 18:13:00,221.0100,221.2500,220.5675,221.2300,249
2025-03-11 18:12:00,220.8000,221.2100,220.6965,221.0100,1833
2025-03-11 18:11:00,220.9100,220.9400,220.6600,220.8600,530
2025-03-11 18:10:00,220.6200,220.9000,220.4900,220.9000,1933
2025-03-11 18:09:00,220.8000,220.8000,220.6000,220.6000,400
2025-03-11 18:08:00,220.5100,220.8000,220.5100,220.6200,255
2025-03-11 18:07:00,220.6300,220.8000,220.4900,220.5100,366
2025-03-11 18:06:00,220.8000,220.8000,220.5700,220.7900,54
2025-03-11 18:05:00,220.3800,220.8800,220.3800,220.7900,3044
2025-03-11 18:04:00,220.8600,220.8800,220.2500,220.6000,1176
2025-03-11 18:03:00,220.8600,220.9500,220.7700,220.7700,524
2025-03-11 18:02:00,220.8600,220.9500,220.8300,220.8600,1572
