Date,Open,High,Low,Close,Volume
2018-01-02,1319.5,1326.5,1295.5,1300.0,3156185
2018-01-03,1304.5,1313.0,1287.0,1297.0,2802767
2018-01-04,1304.5,1307.0,1297.0,1300.0,3911927
2018-01-05,1304.0,1324.0,1304.0,1324.0,4000943
2018-01-08,1325.0,1336.5,1319.5,1329.5,3031735
2018-01-09,1333.0,1334.0,1304.0,1310.0,5351422
2018-01-10,1312.5,1320.5,1300.0,1305.0,4174640
2018-01-11,1310.0,1326.5,1307.0,1318.0,9337277
2018-01-12,1323.5,1332.0,1317.0,1321.0,9432667
2018-01-15,1321.0,1335.5,1314.0,1330.0,4796973
2018-01-16,1331.5,1335.5,1323.0,1333.0,5164877
2018-01-17,1336.0,1346.5,1321.0,1342.0,4679419
2018-01-18,1320.0,1325.0,1296.5,1300.0,5151421
2018-01-19,1306.5,1307.0,1288.5,1291.0,4416898
2018-01-22,1292.5,1301.5,1290.0,1296.5,4038687
2018-01-23,1300.0,1304.5,1276.5,1295.0,5248448
2018-01-24,1295.0,1298.0,1279.5,1279.5,4382554
2018-01-25,1277.5,1284.5,1262.5,1262.5,3766152
2018-01-26,1268.0,1287.5,1264.0,1281.5,5249658
2018-01-29,1283.5,1302.5,1281.0,1300.0,4983225
2018-01-30,1298.0,1300.5,1290.5,1290.5,5393151
2018-01-31,1305.0,1319.0,1293.5,1304.5,8285033
2018-02-01,1312.0,1322.0,1276.5,1276.5,5126413
2018-02-02,1276.0,1280.0,1254.5,1261.5,3434007
2018-02-05,1252.5,1267.0,1239.5,1239.5,3645559
2018-02-06,1216.5,1226.5,1191.5,1191.5,8419024
2018-02-07,1203.5,1223.0,1192.5,1219.0,4368191
2018-02-08,1212.0,1220.5,1200.5,1205.5,5143744
2018-02-09,1200.0,1202.0,1182.0,1189.5,4815091
2018-02-12,1199.5,1205.5,1178.0,1182.0,3705386
2018-02-13,1182.5,1187.0,1176.5,1185.0,5592622
2018-02-14,1188.0,1193.5,1178.0,1191.0,7204178
2018-02-15,1194.5,1196.5,1180.5,1188.5,4117441
2018-02-16,1197.0,1203.5,1194.5,1200.0,3766179
2018-02-19,1201.0,1205.0,1194.0,1201.5,2238050
2018-02-20,1203.5,1216.0,1203.5,1213.0,4816186
2018-02-21,1210.5,1221.5,1203.5,1219.5,4276212
2018-02-22,1218.0,1238.0,1211.5,1236.0,4713308
2018-02-23,1236.0,1257.0,1227.0,1251.5,3808643
2018-02-26,1259.5,1259.5,1241.5,1253.5,4019720
2018-02-27,1254.0,1260.0,1239.0,1241.0,3707648
2018-02-28,1233.0,1239.5,1223.5,1225.0,6216511
2018-03-01,1224.0,1231.5,1210.5,1221.0,5423910
2018-03-02,1213.0,1225.5,1211.0,1214.0,5073665
2018-03-05,1214.5,1217.5,1205.5,1215.5,3373388
2018-03-06,1220.0,1228.5,1206.0,1215.0,5897034
2018-03-07,1200.0,1235.5,1192.0,1232.5,7354116
2018-03-08,1231.0,1253.0,1229.0,1247.5,4768643
2018-03-09,1247.0,1264.5,1245.5,1257.0,3612962
2018-03-12,1268.0,1269.5,1223.5,1233.5,6649814
2018-03-13,1233.0,1253.0,1218.5,1222.5,6016825
2018-03-14,1223.0,1235.5,1220.0,1225.0,3210077
2018-03-15,1223.5,1233.5,1222.0,1229.5,4331041
2018-03-16,1225.5,1246.5,1225.5,1239.0,9312540
2018-03-19,1238.5,1238.5,1211.0,1219.5,3860602
2018-03-20,1216.5,1227.0,1210.0,1212.0,3288260
2018-03-21,1215.0,1227.0,1209.5,1223.5,2809303
2018-03-22,1218.0,1225.5,1208.5,1213.0,2843288
2018-03-23,1207.5,1242.0,1207.0,1231.5,5057433
