Date,Open,High,Low,Close,Volume
2018-01-02,2655.0,2667.0,2635.0,2651.0,2678264
2018-01-03,2652.0,2686.0,2642.0,2679.0,2769823
2018-01-04,2695.0,2754.0,2691.0,2744.0,2655529
2018-01-05,2739.0,2762.0,2729.0,2762.0,2261936
2018-01-08,2752.0,2761.0,2727.0,2755.0,1982656
2018-01-09,2746.0,2774.0,2735.0,2764.0,2238635
2018-01-10,2764.0,2764.0,2730.0,2749.0,1766477
2018-01-11,2759.0,2760.0,2705.0,2706.0,3322638
2018-01-12,2720.0,2725.0,2693.0,2704.0,2218730
2018-01-15,2699.0,2709.0,2677.0,2693.0,1219454
2018-01-16,2702.0,2704.0,2665.0,2680.0,2561229
2018-01-17,2690.0,2690.0,2656.0,2661.0,1311196
2018-01-18,2680.0,2680.0,2618.0,2624.0,1290101
2018-01-19,2615.0,2683.0,2610.0,2683.0,2516415
2018-01-22,2684.0,2716.0,2673.0,2716.0,3382170
2018-01-23,2731.0,2773.0,2715.0,2770.0,4460991
2018-01-24,2762.0,2772.0,2698.0,2698.0,2599454
2018-01-25,2695.0,2726.0,2666.0,2683.0,2314892
2018-01-26,2723.0,2732.0,2696.0,2725.0,2484425
2018-01-29,2732.0,2744.0,2711.0,2714.0,1877461
2018-01-30,2687.0,2701.0,2666.0,2672.0,2351626
2018-01-31,2687.0,2687.0,2610.0,2612.0,3342511
2018-02-01,2627.0,2632.0,2559.0,2575.0,2213329
2018-02-02,2570.0,2573.0,2529.0,2542.0,2457299
2018-02-05,2503.0,2524.0,2491.0,2496.0,2022159
2018-02-06,2406.0,2510.0,2397.0,2451.0,3732754
2018-02-07,2500.0,2505.0,2435.0,2491.0,2862602
2018-02-08,2465.0,2478.0,2394.0,2396.0,3272133
2018-02-09,2379.0,2417.0,2354.0,2380.0,2709509
2018-02-12,2428.0,2436.0,2406.0,2428.0,2344411
2018-02-13,2412.0,2470.0,2390.0,2459.0,3311884
2018-02-14,2476.0,2485.0,2402.0,2427.0,2233527
2018-02-15,2446.0,2492.0,2441.0,2489.0,3260097
2018-02-16,2515.0,2528.0,2482.0,2482.0,2114567
2018-02-19,2479.0,2488.0,2450.0,2458.0,747593
2018-02-20,2470.0,2515.0,2459.0,2500.0,1905972
2018-02-21,2500.0,2504.0,2471.0,2491.0,1287309
2018-02-22,2468.0,2497.0,2452.0,2489.0,1161608
2018-02-23,2489.0,2495.0,2459.0,2466.0,860573
2018-02-26,2473.0,2490.0,2456.0,2473.0,1351801
2018-02-27,2480.0,2490.0,2434.0,2436.0,1674132
2018-02-28,2429.0,2439.0,2399.0,2402.0,2347109
2018-03-01,2475.0,2484.0,2418.0,2445.0,4592823
2018-03-02,2412.0,2424.0,2384.0,2399.0,2756696
2018-03-05,2417.0,2471.0,2394.0,2461.0,4830883
2018-03-06,2487.0,2498.0,2439.0,2439.0,1879381
