Date,Open,High,Low,Close,Volume
2018-01-02,5126.0,5158.0,5083.0,5105.0,2350718
2018-01-03,5095.0,5179.0,5094.0,5166.0,2689974
2018-01-04,5189.0,5220.0,5132.0,5171.0,1936251
2018-01-05,5170.0,5209.0,5163.0,5204.0,1651808
2018-01-08,5207.0,5217.0,5146.0,5153.0,1750759
2018-01-09,5163.0,5186.0,5141.0,5164.0,2064251
2018-01-10,5143.0,5168.0,5090.0,5136.0,2388598
2018-01-11,5155.0,5160.0,5106.0,5132.0,1680832
2018-01-12,5159.0,5160.0,5104.0,5132.0,1835225
2018-01-15,5116.0,5151.0,5097.0,5130.0,1224709
2018-01-16,5142.0,5155.0,5035.0,5049.0,2828512
2018-01-17,5015.0,5062.0,4978.5,4990.5,2386822
2018-01-18,5004.0,5015.0,4938.5,4980.5,4251132
2018-01-19,5000.0,5054.0,4984.5,5043.0,3019909
2018-01-22,5038.0,5058.0,5029.0,5054.0,3256021
2018-01-23,5060.0,5104.0,5043.0,5101.0,2137024
2018-01-24,5079.0,5094.0,4965.0,4971.0,2841255
2018-01-25,4963.0,5070.0,4943.0,4998.5,2841724
2018-01-26,5012.0,5100.0,5010.0,5095.0,2208072
2018-01-29,5086.0,5106.0,5059.0,5086.0,1747496
2018-01-30,5068.0,5105.0,4972.5,5014.0,2824381
2018-01-31,4983.0,4988.0,4874.5,4886.5,2451204
2018-02-01,4890.0,4922.0,4855.0,4886.0,2401380
2018-02-02,4862.0,5049.0,4722.5,5036.0,4508997
2018-02-05,4992.0,5021.0,4885.5,4886.5,4289167
2018-02-06,4642.5,4826.0,4544.5,4728.5,4485832
2018-02-07,4760.0,4821.0,4705.5,4789.5,3602970
2018-02-08,4795.5,4912.0,4765.5,4845.0,3732277
2018-02-09,4835.5,4844.0,4747.5,4770.0,4070758
2018-02-12,4807.0,4867.0,4773.0,4860.0,2451930
2018-02-13,4853.0,4861.5,4818.5,4830.5,2581127
2018-02-14,4835.5,4867.5,4780.0,4830.0,3371417
2018-02-15,4727.5,4762.5,4702.5,4713.5,2267718
2018-02-16,4748.5,4759.0,4718.5,4739.5,2394736
2018-02-19,4800.0,4814.5,4706.0,4712.5,1573043
2018-02-20,4733.0,4747.0,4706.0,4722.0,2087784
2018-02-21,4717.0,4815.0,4699.0,4799.5,3025909
2018-02-22,4795.5,4815.5,4769.5,4772.0,3248233
2018-02-23,4767.5,4791.0,4710.5,4752.0,1836745
2018-02-26,4759.0,4821.0,4759.0,4813.5,2185040
2018-02-27,4818.5,4838.5,4787.0,4795.0,1903031
