Date,Open,Open,High,High,Low,Low,Close,Close,Volume,Volume
2025-09-30,653.0,1168.0,653.0,1194.0,638.2999877929688,1166.0,647.0,1190.0,994729,19770482.0
2025-10-01,648.0,1190.0,650.5,1191.4549560546875,641.5,1155.0,644.0,1177.0,1343372,28677057.0
2025-10-02,644.5,1184.5,651.5,1188.0,637.0,1164.0,643.5,1167.5,1385617,10318067.0
2025-10-03,645.0,1175.0,649.0,1182.5,641.72900390625,1168.0,643.0,1168.5,1586500,30233521.0
2025-10-06,642.0,1171.0,649.5,1174.5,639.0,1154.5,647.0,1154.5,571859,35037725.0
2025-10-07,646.5,1154.5,654.5,1161.0,644.5,1146.0,648.5,1153.5,1241397,12463634.0
2025-10-08,649.5,1165.0,657.0,1174.5,648.0,1146.5,654.5,1152.5,770117,11928408.0
2025-10-09,656.5,1149.5,662.5,1166.0,651.5,1137.0,655.0,1155.0,965962,9279117.0
2025-10-10,669.0,1154.5,669.0,1155.0,649.0,1124.0,655.5,1138.5,850676,14957492.0
2025-10-13,653.5,1138.0,665.5,1142.0,653.5,1118.5,659.0,1128.5,684473,42174375.0
2025-10-14,656.0,1121.0,668.0,1128.0,653.5,1087.0,668.0,1124.0,1114094,81873639.0
2025-10-15,670.5,1126.0,674.5,1128.5,662.0,1110.0,662.0,1112.5,576882,19816863.0
2025-10-16,662.5,1106.0,671.5,1140.5,650.1649780273438,1105.0,662.5,1140.0,746403,11168396.0
2025-10-17,656.0,1115.5,665.0,1125.5,650.0,1094.0,657.0,1103.0,1538463,19048138.0
2025-10-20,657.5,1128.5,664.5,1134.5,654.0,1121.9949951171875,659.5,1127.0,936096,31791253.0
2025-10-21,661.0,1134.0,662.5,1142.0,651.5,1121.5,654.5,1134.5,753275,27696732.0
2025-10-22,657.0,1142.0,669.5,1146.0,655.5,1102.5,660.0,1102.5,718578,79387850.0
2025-10-23,661.0,1111.0,665.5,1118.5,658.0,1104.0,664.5,1108.5,1119300,18429552.0
2025-10-24,669.5,1122.0,676.5,1123.0,661.5,1094.0,676.5,1121.0,613462,21565435.0
2025-10-27,677.0,,681.0,,671.5,,677.5,,639041,
2025-10-28,680.5,1120.0,680.5,1155.5,670.5,1108.5,674.0,1146.0,868648,30780865.0
2025-10-29,674.5,1139.0,677.5,1162.0,670.468994140625,1126.0,675.5,1159.5,665607,45110443.0
2025-10-30,668.5,1159.0,674.5,1182.0,664.5449829101562,1152.5,670.5,1168.0,2854485,45387839.0
2025-10-31,677.0,1173.0,677.0,1181.0,665.0999755859375,1156.5,672.0,1167.0,818783,12397146.0
2025-11-03,677.0,1177.0,677.0,1181.0,665.5,1165.0,674.0,1165.0,732134,77114242.0
2025-11-04,669.0,1148.5,678.5,1159.0,665.5,1137.0,673.5,1147.5,774640,47146762.0
2025-11-05,686.0,1142.0,686.0,1159.5,669.0,1140.0,675.0,1157.0,1041755,44744588.0
2025-11-06,675.0,1160.0,680.0,1160.0,668.0,1131.5,671.5,1131.5,557800,21460016.0
2025-11-07,673.0,1126.5,677.5,1142.592041015625,660.0,1116.5,661.0,1138.5,2197246,39724795.0
2025-11-10,667.5,1153.0,672.0,1171.5,662.0,1125.0,668.5,1161.0,730913,44449275.0
2025-11-11,667.5,1163.5,672.0,1169.0,652.5,1133.5,654.0,1152.5,1214601,26863472.0
2025-11-12,656.5,1147.0,665.0,1162.0,653.5,1136.7540283203125,665.0,1152.5,1095965,12189972.0
2025-11-13,669.0,1136.0,669.5,1163.5,660.0,1120.4439697265625,662.5,1120.5,793523,15919881.0
2025-11-14,661.0,1094.0,661.0,1112.5,646.0,1083.0,659.0,1106.0,1466462,19588033.0
2025-11-17,665.0,1102.5,665.0,1107.5,657.875,1090.0,664.0,1094.5,1021396,45034243.0
2025-11-18,654.0,1072.0,660.5,1088.5,651.5,1057.5,659.0,1073.5,1544279,26758325.0
2025-11-19,662.5,1066.5,664.0,1080.0,654.5,1050.5,656.5,1066.5,532688,43673771.0
2025-11-20,665.0,1078.5,665.5,1102.75,652.5,1075.5,652.5,1079.0,1139978,46535648.0
2025-11-21,641.5,1053.0,654.0,1058.0,636.5,1020.5,644.5,1038.0,2099145,31928007.0
2025-11-24,648.5,1034.0,661.5,1039.7950439453125,646.5,1019.5,657.5,1029.0,2853356,37006312.0
2025-11-25,659.0,1027.0,672.5,1045.0,654.0,1018.5,672.5,1045.0,1613192,36425525.0
2025-11-26,677.0,1054.5,687.5,1060.0,672.5,1044.0,685.5,1058.0,1512400,27451942.0
2025-11-27,688.0,1058.0,700.0560302734375,1062.0,687.0,1050.5,700.0,1058.5,1085547,71113326.0
2025-11-28,707.0,1062.0,707.0,1078.0,695.3309936523438,1060.5,704.0,1068.0,527082,10706611.0
2025-12-01,702.0,1053.5,703.0,1061.1590576171875,682.0,1033.0,697.0,1037.0,1568509,16524198.0
2025-12-02,702.5,1035.0,704.5,1055.0,695.75,1034.5,704.5,1046.0,1727440,15439786.0
2025-12-03,711.5,1045.0,711.5,1072.5,694.9500122070312,1037.0,709.5,1063.0,921743,23002430.0
2025-12-04,726.5,1074.0,726.5,1093.5,705.5,1060.0,721.5,1091.0,1933578,38390962.0
2025-12-05,727.0,1111.0,732.5,1115.5,707.0,1073.0,707.0,1084.5,1932878,21149587.0
2025-12-08,716.0,1093.5,717.0,1112.0,705.5,1090.0,716.5,1107.0,1054636,22298645.0
2025-12-09,718.5,1118.5,721.0,1127.0,712.0,1105.5,714.5,1111.0,643111,13290156.0
2025-12-10,711.0,1100.5,721.0,1121.0,704.0,1099.0,704.0,1106.0,437105,16792081.0
2025-12-11,714.0,1099.0,714.0,1109.5,698.5,1092.5,705.0,1100.0,740405,12288673.0
2025-12-12,714.0,1105.0,715.0,1120.0,707.0,1095.52001953125,708.5,1096.5,1055803,18270550.0
2025-12-15,711.5,1099.0,721.0,1115.5,708.5,1091.875,720.5,1114.0,685397,11200685.0
2025-12-16,727.0,1100.0,727.0,1109.0,714.0,1086.5,718.0,1098.0,1982288,12562649.0
2025-12-17,720.5,1108.0,724.0,1129.5,713.5,1101.0,713.5,1102.0,1164066,23721040.0
2025-12-18,730.5,1107.5,730.5,1149.0,709.5,1104.0,721.0,1144.0,1622345,16842155.0
2025-12-19,720.0,1148.5,724.1840209960938,1178.0,714.5,1144.5,721.0,1170.0,2424677,33928637.0
2025-12-22,707.0,1169.0,726.2100219726562,1174.7060546875,707.0,1141.5,719.5,1155.0,1025156,11681038.0
2025-12-23,721.5,1155.0,721.5,1163.0,713.0,1146.0,715.5,1160.0,345634,19343519.0
2025-12-24,717.0,1160.5,718.0399780273438,1160.5,706.5,1146.5,716.5,1149.5,131639,2526464.0
2025-12-29,702.5,1147.0,716.0,1149.5,699.5,1132.0,711.0,1137.0,801092,14374265.0
2025-12-30,714.0,1131.0,716.5,1155.0,703.0,1131.0,715.0,1153.0,343917,8603715.0
2025-12-31,716.0,1152.0,716.5,1156.0,709.8720092773438,1144.0,711.0,1150.0,112207,3474648.0
2026-01-02,711.5,1160.0,715.5,1198.0,704.5,1155.780029296875,714.0,1197.0,936326,37950885.0
2026-01-05,731.0,1214.0,737.0,1240.0,700.0,1197.0,720.0,1231.5,2624885,27313622.0
2026-01-06,722.0,1246.0,726.0,1269.5,703.5,1234.5,723.5,1244.5,631754,20949415.0
2026-01-07,722.5,1251.0,724.5,1268.0,717.5,1243.5,724.5,1259.0,814932,13812450.0
2026-01-08,720.0,1269.0,724.5,1286.5,715.0,1262.5,715.0,1272.5,634377,21986320.0
2026-01-09,721.0,1285.0,723.5,1297.0,709.5,1273.0,722.5,1293.5,873116,21433755.0
2026-01-12,725.5,1300.0,732.0,1304.0,717.5,1285.5,727.0,1287.0,528192,20494563.0
2026-01-13,729.5,1299.0,729.5,1305.0,708.0,1288.5,711.5,1305.0,1793045,31813439.0
2026-01-14,713.5,1305.0,718.5,1306.5989990234375,708.0,1268.0,711.5,1275.0,1047423,23299578.0
2026-01-15,712.0,1286.0,721.0,1299.75,702.5,1261.0,719.5,1273.0,2123543,57592533.0
2026-01-16,717.5,1283.0,736.0,1295.0,716.5,1274.5,735.0,1285.5,2415461,36516893.0
2026-01-19,726.0,1279.0,734.0,1290.5,713.0,1267.0,726.0,1267.0,501809,14996470.0
2026-01-20,710.0,1263.5,726.0,1281.0,705.5,1239.0,716.0,1281.0,1378733,36874059.0
2026-01-21,712.5,1267.0,721.0,1278.5,708.5,1246.5,713.0,1255.0,2727124,23179337.0
2026-01-22,719.0,1255.0,727.0,1280.0,714.5,1236.5,719.0,1244.0,976546,15053977.0
2026-01-23,718.5,1255.0,722.0,1263.0,708.0,1245.5,708.0,1253.0,521117,37721743.0
2026-01-26,714.5,1258.5,723.5,1258.5,705.5,1230.27099609375,718.0,1235.5,637103,42309468.0
2026-01-27,721.5,1244.0,728.5,1249.5,715.0,1234.5,722.5,1240.0,1138499,65283304.0
2026-01-28,723.5,1250.0,727.0,1250.0,712.0,1207.5,714.5,1208.0,1127645,34901812.0
2026-01-29,716.5,1211.5,722.5,1227.0,711.0,1191.0,712.0,1201.0,1554474,16872584.0
2026-01-30,712.0,1202.0,719.5,1223.5,709.5,1198.5,714.0,1211.0,817342,13561700.0
2026-02-02,714.0,1200.0,731.0,1235.5,708.5,1191.0,731.0,1230.5,3723455,25735934.0
2026-02-03,728.5,1260.0,739.5,1264.5,724.0,1233.5,730.0,1235.5,2053283,18198420.0
2026-02-04,730.5,1248.5,742.0,1265.0,724.5,1217.5,724.5,1217.5,1003707,16821891.0
2026-02-05,712.0,1217.5,730.75,1237.0,712.0,1199.0,727.0,1207.5,599988,14030740.0
2026-02-06,741.5,1205.5,747.0,1229.0,721.0,1192.5,744.0,1229.0,996434,11086431.0
2026-02-09,741.0,1237.0,756.5,1275.0,740.0,1235.449951171875,756.0,1275.0,2232972,16946760.0
2026-02-10,754.0,1283.0,758.0,1285.0,740.0,1243.5,747.0,1243.5,1595688,15964511.0
2026-02-11,747.0,1243.5,764.0,1265.25,738.5,1236.5,754.0,1248.0,749658,21144703.0
2026-02-12,760.0,1265.0,771.5,1270.0,754.5,1223.0,758.0,1226.0,1042928,28179253.0
2026-02-13,757.0,1240.0,774.0,1280.0,757.0,1238.5,766.5,1271.0,1135537,38388439.0
2026-02-16,766.5,1271.0,777.4199829101562,1299.0,758.0,1266.5,774.5,1298.0,565831,11519127.0
2026-02-17,772.0,1298.0,781.0,1300.0,757.0,1267.5,776.5,1297.0,606261,23524510.0
2026-02-18,778.0,1298.5,781.0,1333.0,765.5,1297.79296875,781.0,1324.5,637280,48505532.0
2026-02-19,779.5,1329.0,787.5,1331.5,765.5,1306.5,769.0,1324.0,589625,49433538.0
2026-02-20,773.5,1327.0,783.5,1351.5,771.5,1324.0,775.5,1336.0,735102,30994942.0
2026-02-23,777.0,1327.0,780.0,1337.27294921875,768.0,1313.5,769.0,1333.0,400674,18967609.0
2026-02-24,776.0,1325.0,789.5,1331.5,762.5,1304.5,762.5,1310.0,1484731,23721496.0
2026-02-25,764.0,1320.0,769.0,1336.5,755.5,1305.0,757.5,1310.0,614176,35732790.0
2026-02-26,758.0,1420.0,768.0,1420.0,739.5,1352.5,768.0,1352.5,695633,48708934.0
2026-02-27,768.0,1369.0,775.5,1372.0,756.0,1333.366943359375,759.5,1333.5,1319359,43601249.0
2026-03-02,759.0,1333.5,757.5,1354.0,748.0,1297.5,756.0,1354.0,712145,64472123.0
2026-03-03,739.5,1353.5,749.0,1367.5,719.0,1263.0,727.0,1303.0,1123712,90846146.0
2026-03-04,726.0,1293.5,736.0,1363.0,721.5,1293.5,730.5,1363.0,1249967,53428465.0
2026-03-05,729.0,1380.0,741.5,1380.5,722.5,1288.5,722.5,1290.0,882709,61113090.0
2026-03-06,705.0,1300.5,728.0,1316.0,700.0,1250.0,709.0,1265.0,845557,26015810.0
2026-03-09,691.0,1210.0,696.0,1242.18994140625,674.5,1168.5,688.0,1238.5,1090959,42491612.0
2026-03-10,704.5,1290.0,710.0,1313.0,700.0,1285.5,702.0,1311.0,807756,32401199.0
2026-03-11,794.0,1293.0,800.0,1303.0,739.0,1263.5,764.5,1300.5,5538757,26591239.0
2026-03-12,761.0,1300.5,771.0,1327.0,753.0,1254.5,760.0,1283.5,2450178,37179913.0
2026-03-13,760.0,1272.0,762.5,1288.0,747.0,1213.5,754.0,1215.5,3277234,25895729.0
2026-03-16,757.5,1220.0,765.0,1240.0,748.0,1208.5,757.0,1230.0,1108089,13932248.0
2026-03-17,757.0,1224.5,771.5,1257.0,753.0,1215.5,769.0,1247.0,2764773,34041253.0
2026-03-18,775.5,1254.0,786.5,1287.0,772.0869750976562,1245.0,780.0,1255.5,3206311,29853519.0
2026-03-19,775.0,1231.0,775.0,1234.0,744.0,1172.77001953125,756.0,1190.0,1031780,23656158.0
2026-03-20,760.5,1199.5,765.0,1211.0,738.0,1148.5,745.0,1161.0,2901184,57889010.0
2026-03-23,736.0,1118.0,780.0,1230.0,725.0,1093.0,764.0,1183.0,1120331,58449834.0
2026-03-24,767.5,1186.0,779.5,1186.0460205078125,753.5,1145.0,764.5,1165.5,2045938,41198527.0
2026-03-25,768.0,1185.5,779.5,1205.5,768.0,1178.5,776.0,1194.0,1065076,24061603.0
2026-03-26,772.0,1177.5,780.5,1178.5,755.0,1141.0,760.0,1150.0,999288,23082480.0
2026-03-27,767.0,1157.0,767.0,1159.5,743.5,1104.5,746.0,1108.5,1161830,32346387.0
